Type,Description,Logo
Mégacorporations,Grandes entreprises multinationales qui dominent l'économie et la politique,Logo de mégacorporation
Gouvernements,Entités politiques qui régissent les États-nations,Logo gouvernemental
Crime Organisé,Groupes criminels qui contrôlent des marchés illégaux,Logo de crime organisé
Groupes de Hackers,Collectifs de hackers qui opèrent souvent en marge de la loi,Logo de hacker
Organisations de Sécurité Privée,Entreprises spécialisées dans la sécurité et la protection,Logo de sécurité privée
Groupes Activistes,Groupes qui luttent pour des causes sociales, politiques ou environnementales,Logo d'activiste
Réseaux de Résistance,Groupes qui résistent à l'oppression des mégacorporations ou des gouvernements,Logo de résistance
Communautés Underground,Communautés qui opèrent dans l'ombre pour échapper à la surveillance,Logo underground
Organisations Religieuses,Groupes religieux qui influencent la société et la politique,Logo religieux
Organisations Scientifiques,Institutions de recherche et de développement,Logo scientifique
Médias et Corporations de Communication,Entreprises qui contrôlent les flux d'information et de communication,Logo de médias
Organisations de Services Publics,Entités qui gèrent les services publics et les infrastructures essentielles,Logo de services publics
Groupes de Mercenaires,Groupes de mercenaires qui offrent leurs services pour des missions de sécurité ou de combat,Logo de mercenaire
Organisations de Santé,Institutions qui gèrent les services de santé et les technologies médicales,Logo de santé
Organisations Éducatives,Institutions qui offrent des services éducatifs et de formation,Logo éducatif
Organisations Environnementales,Groupes qui luttent pour la protection de l'environnement et des ressources naturelles,Logo environnemental
Organisations de Transport,Entreprises qui gèrent les infrastructures de transport et de logistique,Logo de transport
Organisations de Divertissement,Entreprises qui contrôlent les industries du divertissement et des loisirs,Logo de divertissement
Organisations de Recherche et Développement,Institutions qui se concentrent sur la recherche et le développement de nouvelles technologies,Logo de recherche et développement
Organisations de Services Financiers,Entreprises qui gèrent les services financiers et les marchés économiques,Logo de services financiers
